PV2,HASTC,PVI Investment And Development Joint Stock Company
PVA,HASTC,PetroVietnam - Nghe An Construction Joint Stock Company
PVC,HASTC,Drilling Mud Corporation
PVD,HOSE,PetroVietNam Drilling and Well Services Joint Stock Company
PVE,HASTC,Petrovietnam Investment Consultancy And Engineering Ioint Stock Company
PVF,HOSE,PetroVietnam Finance Joint Stock Corporation
PVG,HASTC,PetroVietnam Northern gas joint stock company
PVI,HASTC,Petrovietnam Insurance Joint Stock Company
PVL,HASTC,PetroVietnam Power Land Joint Stock Company
PVR,HASTC,PetroVietnam Premier Recreation Joint Stock Company
PVS,HASTC,Petrovietnam Technical Services Corporation
PVT,HOSE,Petrovietnam Transportation Corporation
PVV,HASTC,Vinaconex-PVC Construction investment joint stock company
PVX,HASTC,Petro Vietnam Construction Joint Stock Corporation
PXA,HASTC,Petrovietnam – Nghe An Investment & Trading Joint stock company
PXI,HOSE,Petroleum Industrial And Civil Construction Joint Stock Company
PXL,HOSE,Petrovietnam – Idico Long Son Industrial Park Investment Joint Stock Company
PXM,HOSE,Mientrung Petroleum Construction Joint Stock Company
PXS,HOSE,Petroleum Equipment Assembly And Metal Structure Joinstock Company
PXT,HOSE,Petroleum Pipeline & Tank Construction Joint Stock Company
QCC,HASTC,Quang Nam Post - Telecoms Construction And Services Corporation
QCG,HOSE,Quoc Cuong Gia Lai Joint Stock Company
QHD,HASTC,Viet- Duc Welding Electrode Joint Stock Company
QNC,HASTC,Quang Ninh Construction and Cement Joint Stock Company
QST,HASTC,Quang Ninh Book And Educational Equipment Joint Stock Company
QTC,HASTC,Quang Nam Transportion Construction Joint Stock Company
RAL,HOSE,Rang Dong Light Sources and Vacuum Flask Joint Stock Company
RCL,HASTC,ChoLon Real Estate Joint Stock Company
RDP,HOSE,Rang Dong Plastic Joint Stock Company
REE,HOSE,Refrigeration Electrical Engineering Corporation
RHC,HASTC,Ry Ninh II Hydroelectric Joint Stock Company
RIC,HOSE,Royal International Corporation
S12,HASTC,Song Da 12 Joint Stock Company
S27,HASTC,Songda Joint Stock Company No 27
S55,HASTC,Song Da 505 Joint Stock Company
S64,HASTC,Song da 6.04 joint stock company
S74,HASTC,Song Da 7.04 Joint Stock Company
S91,HASTC,Song Da 9.01 Joint Stock Company
S96,HASTC,Song Da No 9.06 Joint Stock Company
S99,HASTC,Song Da 909 Joint Stock Company
SAF,HASTC,Safoco Foodstuff Joint Stock Company
SAM,HOSE,SACOM Development And Investment Corporation
SAP,HASTC,Textbook Printing Joint Stock Company In Ho Chi Minh City
SAV,HOSE,Savimex Corporation
SBA,HOSE,Song Ba Joint Stock Company
SBC,HOSE,Saigon Beer Transportation Joint Stock Company
SBS,HOSE,Sacombank Securities Joint Stock Company
SBT,HOSE,Société De Bourbon Tay Ninh
SC5,HOSE,Construction Joint Stock Company No 5
SCC,HASTC,Songda Cement Joint-Stock Company
SCD,HOSE,Chuong Duong Beverages Company
SCJ,HASTC,Sai Son Cement Joint Stock Company
